"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Growing of beverage crops","0127","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of beverage crops:
* coffee
* tea
* matÃÆÃÂ©
* cocoa
* other beverage crops",
"Growing of spices, aromatic, drug and pharmaceutical crops","0128","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
* pepper (piper spp.)
* chilies and peppers (capsicum spp.)
* nutmeg, mace and cardamoms
* anise, badian and fennel
* cinnamon (canella)
* cloves
* ginger
* vanilla
*",
"Growing of other perennial crops","0129","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of rubber trees
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting","This class excludes:
- gathering of tree sap or rubber-like gums in the wild, see 0230"
"Plant propagation","013","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"See class 0130.",
"Plant propagation","0130","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","013 Plant propagation","This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

","This class excludes:
- growing of plants for the purpose of seed production, see groups 011 and 012
- operation of forest tree nurseries, see 0210"
"Animal production","014","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"This group includes raising (farming) and breeding of all animals, except aquatic animals.","This group excludes:
- breeding support services, such as stud services, see 0162
- farm animal boarding and care, see 0162
- production of hides and skins from slaughterhouses, see 1010"
"Raising of cattle and buffaloes","0141","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of cattle and buffaloes
- production of raw cow milk from cows or buffaloes
- production of bovine semen","This class excludes:
- processing of milk, see 1050"
"Raising of horses and other equines","0142","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of horses (including racing horses), asses, mules or hinnies","This class excludes:
- operation of racing and riding stables, see 9319"
"Raising of camels and camelids","0143","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of camels (dromedary) and camelids",
"Raising of sheep and goats","0144","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool","This class excludes:
- sheep shearing on a fee or contract basis, see 0162
- production of pulled wool, see 1010
- processing of milk, see 1050"
"Raising of swine/pigs","0145","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of swine (pigs)",
"Raising of poultry","0146","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of poultry:
* fowls of the species Gallus domesticus (chickens and capons), ducks, geese, turkeys and guinea fowls
- production of eggs
- operation of poultry hatcheries","This class excludes:
- production of feathers or down, see 1010"
"Raising of other animals","0149","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","014 Animal production","This class includes:
- raising and breeding of semi-domesticated or other live animals:
* ostriches and emus
* other birds (except poultry)
* insects
* rabbits and other fur animals
- production of fur skins, reptile or bird skins from ranching operation
","This class excludes:
- production of hides and skins originating from hunting and trapping, see 0170
- operation of frog farms, crocodile farms, marine worm farms, see 0321, 0322
- operation of fish farms, see 0321, 0322
- training of pet animals, see 960"
"Mixed farming","015","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"See class 0150.",
"Mixed farming","0150","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","015 Mixed farming","This class includes the combined production of crops and animals without a specialized production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit exceeds ","This class excludes:
- mixed crop farming, see groups 011 and 012
- mixed animal farming, see group 014"
"Support activities to agriculture and post-harvest crop activities","016","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), done on a fee or contract basis. Also included are post-h",
"Support activities for crop production","0161","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","016 Support activities to agriculture and post-harvest crop activities","This class includes:
- agricultural activities on a fee or contract basis:
* preparation of fields
* establishing a crop
* treatment of crops
* crop spraying, including by air
* trimming of fruit trees and vines
* transplanting of rice, thinning of beets
","This class excludes:
- post-harvest crop activities, see 0163
- activities of agronomists and agricultural economists, see 7490
- landscape architecture, see 7110
- landscape gardening, planting, see 8130
- maintenance of land to keep it in good ecologica"
"Support activities for animal production","0162","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","016 Support activities to agriculture and post-harvest crop activities","This class includes:
- agricultural activities on a fee or contract basis:
* activities to promote propagation, growth and output of animals
* herd testing services, droving services, agistment services, poultry caponizing, coop cleaning etc.
* activities","This class excludes:
- provision of space for animal boarding only, see 6810
- veterinary activities, see 7500
- vaccination of animals, see 7500
- renting of animals (e.g. herds), see 7730
- service activities to promote commercial hunting and trapping, "
"Post-harvest crop activities","0163","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","016 Support activities to agriculture and post-harvest crop activities","This class includes:
- preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting 
- cotton ginning
- preparation of tobacco leaves
- preparation of cocoa beans
- waxing of fruit
- sun-drying of fruit and vegetables","This class excludes:
- preparation of agricultural products by the producer, see groups 011 and 012
- preserving of fruit and vegetables, including dehydration by artificial means, see 1030
- stemming and redrying of tobacco, see 1200
- marketing activiti"
"Seed processing for propagation","0164","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","016 Support activities to agriculture and post-harvest crop activities","This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe lev","This class excludes:
- growing of seeds, see groups 011 and 012
- processing of seeds to obtain oil, see 1040
- research to develop or modify new forms of seeds, see 7210"
"Hunting, trapping and related service activities","017","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"See class 0170.",
"Hunting, trapping and related service activities","0170","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","017 Hunting, trapping and related service activities","This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities

Thi","This class excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 014
- raising of game animals on ranching operations, see 0149
- catching of whales, see 0311
- production of hides and skins originating from slaugh"
"Forestry and logging","02","A Agriculture, forestry and fishing",,,"This division includes the production of roundwood for the forest-based manufacturing industries (ISIC divisions 16 and 17) as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activi",
"Silviculture and other forestry activities","021","A Agriculture, forestry and fishing","02 Forestry and logging",,"See class 0210.",
"Silviculture and other forestry activities","0210","A Agriculture, forestry and fishing","02 Forestry and logging","021 Silviculture and other forestry activities","This class includes:
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- growing of coppice, pulpwood and fire wood
- operation of forest tree nurseries

These activities can be carried","This class excludes:
- growing of Christmas trees, see 0129
- operation of tree nurseries, see 0130
- gathering of wild growing non-wood forest products, see 0230
- production of wood chips and particles, see 1610"
"Logging","022","A Agriculture, forestry and fishing","02 Forestry and logging",,"See class 0220.",
"Logging","0220","A Agriculture, forestry and fishing","02 Forestry and logging","022 Logging","This class includes:
- production of roundwood for forest-based manufacturing industries
- production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles
- gathering and production of fire wood
- production of charcoa","This class excludes:
- growing of Christmas trees, see 0129
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 0210
- gathering of wild growing non-wood forest products, see 0230
- "
"Gathering of non-wood forest products","023","A Agriculture, forestry and fishing","02 Forestry and logging",,"See class 0230.",
"Gathering of non-wood forest products","0230","A Agriculture, forestry and fishing","02 Forestry and logging","023 Gathering of non-wood forest products","This class includes the gathering of non-wood forest products and other plants growing in the wild.

This class includes:
- gathering of wild growing materials:
* mushrooms, truffles
* berries
* nuts
* balata and other rubber-like gums
* cork
* lac and re","This class excludes:
- managed production of any of these products (except growing of cork trees), see division 01
- growing of mushrooms or truffles, see 0113
- growing of berries or nuts, see 0125
- gathering of fire wood, see 0220"
"Support services to forestry","024","A Agriculture, forestry and fishing","02 Forestry and logging",,"See class 0240.",
"Support services to forestry","0240","A Agriculture, forestry and fishing","02 Forestry and logging","024 Support services to forestry","This class includes carrying out part of the forestry operation on a fee or contract basis.

This class includes:
- forestry service activities:
* forestry inventories
* forest management consulting services
* timber evaluation
* forest fire fighting and ","This class excludes:
- operation of forest tree nurseries, see 0210"
"Fishing and aquaculture","03","A Agriculture, forestry and fishing",,,"This division includes capture fishery and aquaculture, covering the use of fishery resources from marine, brackish or freshwater environments, with the goal of capturing or gathering fish, crustaceans, molluscs and other marine organisms and products (e.",
"Fishing","031","A Agriculture, forestry and fishing","03 Fishing and aquaculture",,"This group includes capture fishery, i.e. the hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans) including plants from the oceanic, coastal or inland w",
"Marine fishing","0311","A Agriculture, forestry and fishing","03 Fishing and aquaculture","031 Fishing","This class includes:
- fishing on a commercial basis in ocean and coastal waters
- taking of marine crustaceans and molluscs
- whale catching
- taking of marine aquatic animals: turtles, sea squirts, tunicates, sea urchins etc.

This class also includes:
","This class excludes:
- capturing of marine mammals, except whales, e.g. walruses, seals, see 0170
- processing of fish, crustaceans and molluscs on factory ships or in factories ashore, see 1020
- renting of pleasure boats with crew for sea and coastal wa"
"Freshwater fishing","0312","A Agriculture, forestry and fishing","03 Fishing and aquaculture","031 Fishing","This class includes:
- fishing on a commercial basis in inland waters
- taking of freshwater crustaceans and molluscs
- taking of freshwater aquatic animals

This class also includes:
- gathering of freshwater materials","This class excludes:
- processing of fish, crustaceans and molluscs, see 1020
- fishing inspection, protection and patrol services, see 8423
- fishing practiced for sport or recreation and related services, see 9319
- operation of sport fishing preserves,"
"Aquaculture","032","A Agriculture, forestry and fishing","03 Fishing and aquaculture",,"This group includes aquaculture (or aquafarming), i.e. the production process involving the culturing or farming (including harvesting) of aquatic organisms (fish, molluscs, crustaceans, plants, crocodiles, alligators and amphibians) using techniques desi",
"Marine aquaculture","0321","A Agriculture, forestry and fishing","03 Fishing and aquaculture","032 Aquaculture","This class includes:
- fish farming in sea water including farming of marine ornamental fish
- production of bivalve spat (oyster mussel etc.), lobsterlings, shrimp post-larvae, fish fry and fingerlings
- growing of laver and other edible seaweeds
- cultu","This class excludes:
- frog farming, see 0322
- operation of sport fishing preserves, see 9319"
"Freshwater aquaculture","0322","A Agriculture, forestry and fishing","03 Fishing and aquaculture","032 Aquaculture","This class includes:
- fish farming in freshwater including farming of freshwater ornamental fish
- culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals
- operation of fish hatcheries (freshwater)
- farming of frogs","This class excludes:
- aquaculture activities in salt water filled tanks and reservoirs, see 0321
- operation of sport fishing preserves, see 9319"
"Mining and quarrying","B","B Mining and quarrying",,,"This section includes the extraction of minerals occurring naturally as solids (coal and ores), liquids (petroleum) or gases (natural gas). Extraction can be achieved by different methods such as underground or surface mining, well operation, seabed minin",
"Mining of coal and lignite","05","B Mining and quarrying",,,"This division includes the extraction of solid mineral fuels includes through underground or open-cast mining and includes operations (e.g. grading, cleaning, compressing and other steps necessary for transportation etc.) leading to a marketable product. ",
"Mining of hard coal","051","B Mining and quarrying","05 Mining of coal and lignite",,"See class 0510.",
"Mining of hard coal","0510","B Mining and quarrying","05 Mining of coal and lignite","051 Mining of hard coal","This class includes:
- mining of hard coal: underground or surface mining, including mining through liquefaction methods
- cleaning, sizing, grading, pulverizing, compressing etc. of coal to classify, improve quality or facilitate transport or storage

Th","This class excludes:
- lignite mining, see 0520
- peat digging and agglomeration of peat, see 0892
- test drilling for coal mining, see 0990
- support activities for hard coal mining, see 0990
- coke ovens producing solid fuels, see 1910
- manufacture of "
"Mining of lignite","052","B Mining and quarrying","05 Mining of coal and lignite",,"See class 0520.",
"Mining of lignite","0520","B Mining and quarrying","05 Mining of coal and lignite","052 Mining of lignite","This class includes:
- mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods
- washing, dehydrating, pulverizing, compressing of lignite to improve quality or facilitate transport or storage","This class excludes:
- hard coal mining, see 0510
- peat digging, see 0892
- test drilling for coal mining, see 0990
- support activities for lignite mining, see 0990
- manufacture of lignite fuel briquettes, see 1920
- work performed to develop or prepar"
"Extraction of crude petroleum and natural gas","06","B Mining and quarrying",,,"This division includes the production of crude petroleum, the mining and extraction of oil from oil shale and oil sands and the production of natural gas and recovery of hydrocarbon liquids. This includes the overall activities of operating and/or develop",
"Extraction of crude petroleum","061","B Mining and quarrying","06 Extraction of crude petroleum and natural gas",,"See class 0610.",
"Extraction of crude petroleum","0610","B Mining and quarrying","06 Extraction of crude petroleum and natural gas","061 Extraction of crude petroleum","This class includes:
- extraction of crude petroleum oils

This class also includes:
- extraction of bituminous or oil shale and tar sand
- production of crude petroleum from bituminous shale and sand
- processes to obtain crude oils: decantation, desalti","This class excludes:
- support activities for oil and gas extraction, see 0910
- oil and gas exploration, see 0910
- manufacture of refined petroleum products, see 1920
- recovery of liquefied petroleum gases in the refining of petroleum, see 1920
- opera"
"Extraction of natural gas","062","B Mining and quarrying","06 Extraction of crude petroleum and natural gas",,"See class 0620.",
"Extraction of natural gas","0620","B Mining and quarrying","06 Extraction of crude petroleum and natural gas","062 Extraction of natural gas","This class includes:
- production of crude gaseous hydrocarbon (natural gas)
- extraction of condensates
- draining and separation of liquid hydrocarbon fractions
- gas desulphurization

This class also includes:
- mining of hydrocarbon liquids, obtained ","This class excludes:
- support activities for oil and gas extraction, see 0910
- oil and gas exploration, see 0910
- recovery of liquefied petroleum gases in the refining of petroleum, see 1920
- manufacture of industrial gases, see 2011
- operation of pi"
"Mining of metal ores","07","B Mining and quarrying",,,"This division includes mining for metallic minerals (ores), performed through underground or open-cast extraction, seabed mining etc. Also included are ore dressing and beneficiating operations, such as crushing, grinding, washing, drying, sintering, calc",
"Mining of iron ores","071","B Mining and quarrying","07 Mining of metal ores",,"See class 0710.",
"Mining of iron ores","0710","B Mining and quarrying","07 Mining of metal ores","071 Mining of iron ores","This class includes:
- mining of ores valued chiefly for iron content
- beneficiation and agglomeration of iron ores","This class excludes:
- extraction and preparation of pyrites and pyrrhotite (except roasting), see 0891"
"Mining of non-ferrous metal ores","072","B Mining and quarrying","07 Mining of metal ores",,"This group includes the mining of non-ferrous metal ores.",
"Mining of uranium and thorium ores","0721","B Mining and quarrying","07 Mining of metal ores","072 Mining of non-ferrous metal ores","This class includes:
- mining of ores chiefly valued for uranium and thorium content: pitchblende etc.
- concentration of such ores
- production of yellowcake","This class excludes:
- enrichment of uranium and thorium ores, see 2011
- production of uranium metal from pitchblende or other ores, see 2420
- smelting and refining of uranium, see 2420"
"Mining of other non-ferrous metal ores","0729","B Mining and quarrying","07 Mining of metal ores","072 Mining of non-ferrous metal ores","This class includes:
- mining and preparation of ores valued chiefly for non-ferrous metal content:
* aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium etc.
* precious metals: gold, silver, pla","This class excludes:
- mining and preparation of uranium and thorium ores, see 0721
- production of aluminium oxide and mattes of nickel or of copper, see 2420"
"Other mining and quarrying","08","B Mining and quarrying",,,"This division includes extraction from a mine or quarry, but also dredging of alluvial deposits, rock crushing and the use of salt marshes. The products are used most notably in construction (e.g. sands, stones etc.), manufacture of materials (e.g. clay, ",
"Quarrying of stone, sand and clay","081","B Mining and quarrying","08 Other mining and quarrying",,"See class 0810.",
"Quarrying of stone, sand and clay","0810","B Mining and quarrying","08 Other mining and quarrying","081 Quarrying of stone, sand and clay","This class includes:
- quarrying, rough trimming and sawing of monumental and building stone such as marble, granite, sandstone etc.
- quarrying, crushing and breaking of limestone
- mining of gypsum and anhydrite
- mining of chalk and uncalcined dolomite","This class excludes:
- mining of bituminous sand, see 0610
- mining of chemical and fertilizer minerals, see 0891
- production of calcined dolomite, see 2394
- cutting, shaping and finishing of stone outside quarries, see 2396"
"Mining and quarrying n.e.c.","089","B Mining and quarrying","08 Other mining and quarrying",,,
"Mining of chemical and fertilizer minerals","0891","B Mining and quarrying","08 Other mining and quarrying","089 Mining and quarrying n.e.c.","This class includes:
- mining of natural phosphates and natural potassium salts
- mining of native sulphur
- extraction and preparation of pyrites and pyrrhotite, except roasting
- mining of natural barium sulphate and carbonate (barytes and witherite), n","This class excludes:
- extraction of salt, see 0893
- roasting of iron pyrites, see 2011
- manufacture of synthetic fertilizers and nitrogen compounds, see 2012"
"Extraction of peat","0892","B Mining and quarrying","08 Other mining and quarrying","089 Mining and quarrying n.e.c.","This class includes:
- peat digging
- peat agglomeration
- preparation of peat to improve quality or facilitate transport or storage","This class excludes:
- service activities incidental to peat mining, see 0990
- manufacture of articles of peat, see 2399"
"Extraction of salt","0893","B Mining and quarrying","08 Other mining and quarrying","089 Mining and quarrying n.e.c.","This class includes:
- extraction of salt from underground including by dissolving and pumping
- salt production by evaporation of sea water or other saline waters
- crushing, purification and refining of salt by the producer","This class excludes:
- processing of salt into food-grade salt, e.g. iodized salt, see 1079
- potable water production by evaporation of saline water, see 3600"
"Other mining and quarrying n.e.c.","0899","B Mining and quarrying","08 Other mining and quarrying","089 Mining and quarrying n.e.c.","This class includes:
- mining and quarrying of various minerals and materials:
* abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar etc.
* natural asphalt, asphaltites and asphaltic rock; natural solid bitume",
"Mining support service activities","09","B Mining and quarrying",,,"This division includes specialized support services incidental to mining provided on a fee or contract basis. It includes exploration services through traditional prospecting methods such as taking core samples and making geological observations as well a",
"Support activities for petroleum and natural gas extraction","091","B Mining and quarrying","09 Mining support service activities",,"See class 0910.",
"Support activities for petroleum and natural gas extraction","0910","B Mining and quarrying","09 Mining support service activities","091 Support activities for petroleum and natural gas extraction","This class includes:
- oil and gas extraction service activities provided on a fee or contract basis:
* exploration services in connection with petroleum or gas extraction, e.g. traditional prospecting methods, such as making geological observations at pr","This class excludes:
- service activities performed by operators of oil or gas fields, see 0610, 0620
- specialized repair of mining machinery, see 3312
- liquefaction and regasification of natural gas for purpose of transport, done off the mine site, see"
"Support activities for other mining and quarrying","099","B Mining and quarrying","09 Mining support service activities",,"See class 0990.",
"Support activities for other mining and quarrying","0990","B Mining and quarrying","09 Mining support service activities","099 Support activities for other mining and quarrying","This class includes:
- support services on a fee or contract basis, required for mining activities of divisions 05, 07 and 08
* exploration services, e.g. traditional prospecting methods, such as taking core samples and making geological observations at p","This class excludes:
- operating mines or quarries on a contract or fee basis, see division 05, 07 or 08
- specialized repair of mining machinery, see 3312
- geophysical surveying services, on a contract or fee basis, see 7110"
"Manufacturing","C","C Manufacturing",,,"This section includes the physical or chemical transformation of materials, substances, or components into new products, although this cannot be used as the single universal criterion for defining manufacturing (see remark on processing of waste below). T",
"Manufacture of food products","10","C Manufacturing",,,"This division includes the processing of the products of agriculture, forestry and fishing into food for humans or animals, and includes the production of various intermediate products that are not directly food products. The activity often generates asso",
"Processing and preserving of meat","101","C Manufacturing","10 Manufacture of food products",,"See class 1010.",
"Processing and preserving of meat","1010","C Manufacturing","10 Manufacture of food products","101 Processing and preserving of meat","This class includes:
- operation of slaughterhouses engaged in killing, dressing or packing meat: beef, pork, poultry, lamb, rabbit, mutton, camel, etc.
- production of fresh, chilled or frozen meat, in carcasses
- production of fresh, chilled or frozen m","This class excludes:
- manufacture of prepared frozen meat and poultry dishes, see 1075
- manufacture of soup containing meat, see 1079
- wholesale trade of meat, see 4630
- packaging of meat, see 8292"
"Processing and preserving of fish, crustaceans and molluscs","102","C Manufacturing","10 Manufacture of food products",,"See class 1020.",
"Processing and preserving of fish, crustaceans and molluscs","1020","C Manufacturing","10 Manufacture of food products","102 Processing and preserving of fish, crustaceans and molluscs","This class includes:
- preparation and preservation of fish, crustaceans and molluscs: freezing, deep-freezing, drying, smoking, salting, immersing in brine, canning etc.
- production of fish, crustacean and mollusc products: cooked fish, fish fillets, ro","This class excludes:
- processing of whales on land or specialized vessels, see 1010
- production of oils and fats from marine material, see 1040
- manufacture of prepared frozen fish dishes, see 1075
- manufacture of fish soups, see 1079"
"Processing and preserving of fruit and vegetables","103","C Manufacturing","10 Manufacture of food products",,"See class 1030.",
"Processing and preserving of fruit and vegetables","1030","C Manufacturing","10 Manufacture of food products","103 Processing and preserving of fruit and vegetables","This class includes:
- manufacture of food consisting chiefly of fruit or vegetables, except ready-made dishes in frozen or canned form
- preserving of fruit, nuts or vegetables: freezing, drying, immersing in oil or in vinegar, canning etc.
- manufacture","This class excludes:
- manufacture of flour or meal of dried leguminous vegetables, see 1061
- preservation of fruit and nuts in sugar, see 1073
- manufacture of prepared vegetable dishes, see 1075
- manufacture of artificial concentrates, see 1079"
"Manufacture of vegetable and animal oils and fats","104","C Manufacturing","10 Manufacture of food products",,"See class 1040.",
"Manufacture of vegetable and animal oils and fats","1040","C Manufacturing","10 Manufacture of food products","104 Manufacture of vegetable and animal oils and fats","This class includes the manufacture of crude and refined oils and fats from vegetable or animal materials, except rendering or refining of lard and other edible animal fats.

This class includes:
- manufacture of crude vegetable oils: olive oil, soya-bean","This class excludes:
- rendering and refining of lard and other edible animal fats, see 1010
- wet corn milling, see 1062
- production of essential oils, see 2029
- treatment of oil and fats by chemical processes, see 2029"
"Manufacture of dairy products","105","C Manufacturing","10 Manufacture of food products",,"See class 1050.",
"Manufacture of dairy products","1050","C Manufacturing","10 Manufacture of food products","105 Manufacture of dairy products","This class includes:
- manufacture of fresh liquid milk, pasteurized, sterilized, homogenized and/or ultra heat treated
- manufacture of milk-based drinks
- manufacture of cream from fresh liquid milk, pasteurized, sterilized, homogenized
- manufacture of","This class excludes:
- production of raw milk (cattle), see 0141
- production of raw milk (camels, etc.), see 0143
- production of raw milk (sheep, goats, horses, asses, etc.), see 0144
- manufacture of non-dairy milk and cheese substitutes, see 1079
- ac"
"Manufacture of grain mill products, starches and starch products","106","C Manufacturing","10 Manufacture of food products",,"This group includes the milling of flour or meal from grains or vegetables, the milling, cleaning and polishing of rice, as well as the manufacture of flour mixes or doughs from these products. Also included in this group are the wet milling of corn and v",
