"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Agriculture, forestry and fishing","A","A Agriculture, forestry and fishing",,,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural ",
"Crop and animal production, hunting and related service activities","01","A Agriculture, forestry and fishing",,,"This division includes two basic activities, namely the production of crop products and production of animal products, covering also the forms of organic agriculture, the growing of genetically modified crops and the raising of genetically modified animal",
"Growing of non-perennial crops","011","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.",
"Growing of cereals (except rice), leguminous crops and oil seeds","0111","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields, including those considered organic farming and the growing of genetically modified crops. The growing of these crops is often combined within agricultural ","This class excludes:
- growing of maize for fodder, see 0119"
"Growing of rice","0112","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes:
- growing of rice (including organic farming and the growing of genetically modified rice)",
"Growing of vegetables and melons, roots and tubers","0113","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes:
- growing of leafy or stem vegetables such as:
* artichokes
* asparagus
* cabbages
* cauliflower and broccoli
* lettuce and chicory
* spinach
* other leafy or stem vegetables
- growing of fruit bearing vegetables such as:
* cucumbers ","This class excludes:
- growing of mushroom spawn, see 0130
- growing of chilies and peppers (capsicum spp.) and other spices and aromatic crops, see 0128"
"Growing of sugar cane","0114","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes:
- growing of sugar cane","This class excludes:
- growing of sugar beet, see 0113"
"Growing of tobacco","0115","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes:
- growing of unmanufactured tobacco",
"Growing of fibre crops","0116","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes:
- growing of cotton
- growing of jute, kenaf and other textile bast fibres
- growing of flax and true hemp
- growing of sisal and other textile fibre of the genus agave
- growing of abaca, ramie and other vegetable textile fibres
- gr",
"Growing of other non-perennial crops","0119","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","011 Growing of non-perennial crops","This class includes the growing of non-perennial crops not elsewhere classified.

This class includes:
- growing of swedes, mangolds, fodder roots, clover, alfalfa, sainfoin, maize and other grasses, forage kale and similar forage products 
- growing of b","This class excludes:
- growing of sunflower seeds, see 0111
- growing of non-perennial spice, aromatic, drug and pharmaceutical crops, see 0128"
"Growing of perennial crops","012","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities",,"This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.",
"Growing of grapes","0121","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of wine grapes and table grapes in vineyards","This class excludes:
- manufacture of wine, see 1102"
"Growing of tropical and subtropical fruits","0122","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of tropical and subtropical fruits:
* avocados
* bananas and plantains
* dates
* figs
* mangoes
* papayas
* pineapples
* other tropical and subtropical fruits",
"Growing of citrus fruits","0123","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of citrus fruits:
* grapefruit and pomelo
* lemons and limes
* oranges
* tangerines, mandarins and clementines
* other citrus fruits",
"Growing of pome fruits and stone fruits","0124","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of pome fruits and stone fruits:
* apples
* apricots
* cherries and sour cherries
* peaches and nectarines
* pears and quinces
* plums and sloes
* other pome fruits and stone fruits",
"Growing of other tree and bush fruits and nuts","0125","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of berries:
* blueberries
* currants
* gooseberries
* kiwi fruit
* raspberries
* strawberries
* other berries
- growing of fruit seeds
- growing of edible nuts:
* almonds
* cashew nuts
* chestnuts
* hazelnuts
* pistachios
* ","This class excludes:
- growing of coconuts, see 0126"
"Growing of oleaginous fruits","0126","A Agriculture, forestry and fishing","01 Crop and animal production, hunting and related service activities","012 Growing of perennial crops","This class includes:
- growing of oleaginous fruits:
* coconuts
* olives
* oil palms
* other oleaginous fruits","This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 0111"
