product_hs92_code_4d,product_hs92_name_4d,product_hs92_code_2d,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d
0714,Tubers,07,Vegetables,1,Agriculture
0801,Cashew nuts & coconuts,08,Fruits and nuts,1,Agriculture
0802,Other nuts,08,Fruits and nuts,1,Agriculture
0803,Bananas and plantains,08,Fruits and nuts,1,Agriculture
0804,"Avocados, pineapples, mangos, etc.",08,Fruits and nuts,1,Agriculture
0805,Citrus fruit,08,Fruits and nuts,1,Agriculture
0806,Grapes,08,Fruits and nuts,1,Agriculture
0807,Melons and papayas,08,Fruits and nuts,1,Agriculture
0808,Apples & pears,08,Fruits and nuts,1,Agriculture
0809,Peaches & cherries,08,Fruits and nuts,1,Agriculture
0810,Other fresh fruit,08,Fruits and nuts,1,Agriculture
0811,"Fruits and nuts, frozen",08,Fruits and nuts,1,Agriculture
0812,"Fruits and nuts, provisionally preserved",08,Fruits and nuts,1,Agriculture
0813,"Fruits, dried",08,Fruits and nuts,1,Agriculture
0814,Peel of citrus fruit or melons,08,Fruits and nuts,1,Agriculture
0901,Coffee,09,"Coffee, tea and spices",1,Agriculture
0902,Tea,09,"Coffee, tea and spices",1,Agriculture
0903,Mate,09,"Coffee, tea and spices",1,Agriculture
0904,Pepper,09,"Coffee, tea and spices",1,Agriculture
0905,Vanilla,09,"Coffee, tea and spices",1,Agriculture
0906,Cinnamon,09,"Coffee, tea and spices",1,Agriculture
0907,Cloves,09,"Coffee, tea and spices",1,Agriculture
0908,Nutmeg,09,"Coffee, tea and spices",1,Agriculture
0909,"Anise, fennel, etc.",09,"Coffee, tea and spices",1,Agriculture
0910,Spices,09,"Coffee, tea and spices",1,Agriculture
1001,Wheat and meslin,10,Cereals,1,Agriculture
1002,Rye,10,Cereals,1,Agriculture
1003,Barley,10,Cereals,1,Agriculture
1004,Oats,10,Cereals,1,Agriculture
1005,Corn,10,Cereals,1,Agriculture
1006,Rice,10,Cereals,1,Agriculture
1007,Grain sorghum,10,Cereals,1,Agriculture
1008,Other cereals,10,Cereals,1,Agriculture
1101,Wheat or meslin flour,11,"Flours, starches and malts",1,Agriculture
1102,Cereal flours,11,"Flours, starches and malts",1,Agriculture
1103,Cereal meals,11,"Flours, starches and malts",1,Agriculture
1104,Worked cereal grains,11,"Flours, starches and malts",1,Agriculture
1105,Potato flour,11,"Flours, starches and malts",1,Agriculture
1106,Flour of dried legumes,11,"Flours, starches and malts",1,Agriculture
1107,Malt,11,"Flours, starches and malts",1,Agriculture
1108,Starches,11,"Flours, starches and malts",1,Agriculture
1109,Wheat gluten,11,"Flours, starches and malts",1,Agriculture
1201,Soya beans,12,Oil seeds and oleaginous fruits,1,Agriculture
1202,Peanuts,12,Oil seeds and oleaginous fruits,1,Agriculture
1203,Copra,12,Oil seeds and oleaginous fruits,1,Agriculture
1204,Linseed,12,Oil seeds and oleaginous fruits,1,Agriculture
1205,Rape or colza seeds,12,Oil seeds and oleaginous fruits,1,Agriculture
1206,Sunflower seeds,12,Oil seeds and oleaginous fruits,1,Agriculture
1207,Other oil seeds,12,Oil seeds and oleaginous fruits,1,Agriculture
1208,Flours of oil seeds,12,Oil seeds and oleaginous fruits,1,Agriculture
1209,Seeds used for sowing,12,Oil seeds and oleaginous fruits,1,Agriculture
1210,Hop cones,12,Oil seeds and oleaginous fruits,1,Agriculture
1211,"Plants used in perfumery, pharmacy or insecticide",12,Oil seeds and oleaginous fruits,1,Agriculture
1212,Seaweeds & edible vegetable products,12,Oil seeds and oleaginous fruits,1,Agriculture
1213,Cereal straw and husks,12,Oil seeds and oleaginous fruits,1,Agriculture
1214,Forage products,12,Oil seeds and oleaginous fruits,1,Agriculture
1301,Lac,13,Lac and other vegetable extracts,1,Agriculture
1302,Vegetable saps and extracts,13,Lac and other vegetable extracts,1,Agriculture
1401,Vegetable materials used for plaiting,14,Other vegetable materials,1,Agriculture
1402,Vegetable materials used as stuffing,14,Other vegetable materials,1,Agriculture
1403,Vegetable materials used for brooms,14,Other vegetable materials,1,Agriculture
1404,Vegetable products n.e.c.,14,Other vegetable materials,1,Agriculture
1501,"Pig and poultry fat, rendered",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1502,"Bovine, sheep and goat fats",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1503,"Lard oil, tallow oil etc.",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1504,Fish oils,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1505,Wool grease,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1506,Other animal fats and oils,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1507,Soybean oil,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1508,Peanut oil,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1509,Olive oil,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1510,"Olive oil, blended",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1511,Palm oil,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1512,Sunflower seed oil,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1513,Coconut & palm kernel oil,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1514,"Rapeseed, colza or mustard oil,",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1515,Other vegetable fats and oils,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1516,"Vegetable fats, hydrogenated",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1517,Margarine,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1518,"Animal or vegetable fats and oils, processed",15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1519,Stearic acid,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1520,Glycerol,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1521,Vegetable waxes and beeswax,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
