product_hs92_code_2d,year,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d,share_on_total_imports,distance,cog,pci,eci_hs92,export_share_to_usa,export_rca,export_value
10,2020,Cereals,1,Agriculture,0.014766336848458614,0.8351666666666667,0.07333333333333335,-1.118,-0.209,0.17933349392922404,0.05565016666666667,2720446
10,2021,Cereals,1,Agriculture,0.011488447881233942,0.8192,-0.012000000000000005,-1.051,-0.052000000000000005,0.20326255538225402,0.18368120000000002,5128280
10,2022,Cereals,1,Agriculture,0.013718118399243634,0.8176,0.07899999999999999,-0.9094000000000001,-0.191,0.32095572308553605,0.1095866,6168639
10,2023,Cereals,1,Agriculture,0.03414636777792316,0.8076666666666666,0.07066666666666666,-1.0315,-0.082,0.24400658272016215,0.17236550000000003,9792432
11,2020,"Flours, starches and malts",1,Agriculture,0.023427960059970963,0.79825,0.2265,-0.9155,-0.209,0.0642746487642119,13.2924525,46936631
11,2021,"Flours, starches and malts",1,Agriculture,0.026232193524234032,0.795,0.197375,-0.744,-0.052,0.233864497590735,11.519954875,45816615
11,2022,"Flours, starches and malts",1,Agriculture,0.02231598150000423,0.781875,0.17550000000000002,-0.756125,-0.191,0.22244759431226832,13.71376525,61527128
11,2023,"Flours, starches and malts",1,Agriculture,0.016529696498648168,0.75,0.043857142857142865,-1.0025714285714284,-0.082,0.2651432389798726,15.281938,71736913
12,2020,Oil seeds and oleaginous fruits,1,Agriculture,0.09643368561382158,0.8186666666666667,0.040444444444444436,-1.2786666666666668,-0.209,0.4619660505321547,0.07756711111111111,908454
12,2021,Oil seeds and oleaginous fruits,1,Agriculture,0.08239757671860604,0.8227272727272728,-0.03509090909090909,-1.324,-0.052,0.48031511814478683,0.08532745454545455,1431422
12,2022,Oil seeds and oleaginous fruits,1,Agriculture,0.09671640655559845,0.8070999999999999,-0.02489999999999999,-1.3244,-0.191,0.5557976686702297,0.0785961,1126761
12,2023,Oil seeds and oleaginous fruits,1,Agriculture,0.09293560483007983,0.7982,-0.0005999999999999922,-1.2714,-0.082,0.39905236196572363,0.104559,1465252
13,2020,Lac and other vegetable extracts,1,Agriculture,0.17518807137517606,0.7705,0.0895,-1.764,-0.209,0.10160788541409481,7.320612,3248827
13,2021,Lac and other vegetable extracts,1,Agriculture,0.17630462238242955,0.76,0.098,-1.839,-0.052,0.1011542549120049,5.239955999999999,2836828
13,2022,Lac and other vegetable extracts,1,Agriculture,0.15377769714979037,0.7565,0.033,-1.758,-0.191,0.10452733319071975,4.566064,2913311
