tag,year,product_hs92_code_4d,import_value,share_on_total_imports,country_iso3_code,product_hs92_code,global_market_share,export_value,export_rca,distance,cog,pci,eci_hs92,product_hs92_name_4d,product_hs92_code_2d,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d,export_share_to_usa
paises_interes,2020,1001,0,0.0,SLV,1001,6e-06,289044,0.01929,0.854,0.35,-0.311,-0.209,Wheat and meslin,10,Cereals,1,Agriculture,0.0
paises_interes,2020,1003,45506,0.0012402233884720275,SLV,1003,4e-06,25955,0.011268,0.854,0.458,-0.048,-0.209,Barley,10,Cereals,1,Agriculture,1.0
paises_interes,2020,1005,1243691,0.004271252332656578,SLV,1005,4e-05,1430798,0.119987,0.834,0.027,-1.11,-0.209,Corn,10,Cereals,1,Agriculture,0.004247280189097273
paises_interes,2020,1006,35978824,0.033754963621833466,SLV,1006,3.8e-05,939896,0.114829,0.811,-0.361,-1.818,-0.209,Rice,10,Cereals,1,Agriculture,0.07175368338624699
paises_interes,2020,1007,45026,0.043014758917303636,SLV,1007,2e-05,32777,0.063624,0.855,-0.001,-2.21,-0.209,Grain sorghum,10,Cereals,1,Agriculture,0.0
paises_interes,2020,1008,785130,0.00631682283048598,SLV,1008,2e-06,1976,0.004903,0.803,-0.033,-1.211,-0.209,Other cereals,10,Cereals,1,Agriculture,0.0
paises_interes,2020,1101,764846,0.004079659827186231,SLV,1101,0.002653,12397502,8.041294,0.735,-0.0,-1.4,-0.209,Wheat or meslin flour,11,"Flours, starches and malts",1,Agriculture,0.0
paises_interes,2020,1102,2888748,0.015475311994693213,SLV,1102,0.030182,31102873,90.50238,0.744,-0.0,-1.584,-0.209,Cereal flours,11,"Flours, starches and malts",1,Agriculture,0.0082613268555609
paises_interes,2020,1103,182252,0.0012750934232683294,SLV,1103,0.002352,2977895,7.155478,0.774,-0.0,-1.072,-0.209,Cereal meals,11,"Flours, starches and malts",1,Agriculture,0.058559821618962386
paises_interes,2020,1104,2560689,0.007828120095892269,SLV,1104,0.000186,331144,0.557721,0.79,0.106,-0.794,-0.209,Worked cereal grains,11,"Flours, starches and malts",1,Agriculture,0.008645785519290702
paises_interes,2020,1105,13195,0.0001881587472320736,SLV,1105,0.0,0,0.0,0.876,0.955,-0.216,-0.209,Potato flour,11,"Flours, starches and malts",1,Agriculture,
paises_interes,2020,1106,13118344,0.12655686035770797,SLV,1106,0.0,0,0.0,0.781,-0.122,-1.459,-0.209,Flour of dried legumes,11,"Flours, starches and malts",1,Agriculture,
