ciiu,ciiu_descripcion,ciiu_clases_comparten,clases_comparten,razon_empleo_total
8129,Otras actividades de limpieza de edificios y de instalaciones industriales (limpieza y mantenimiento de maquinaria y equipo industrial),3320,238222,0.389958364962721
8129,Otras actividades de limpieza de edificios y de instalaciones industriales (limpieza y mantenimiento de maquinaria y equipo industrial),4329,238222,0.389958364962721
8129,Otras actividades de limpieza de edificios y de instalaciones industriales (limpieza y mantenimiento de maquinaria y equipo industrial),5222,488390,0.0005117563844655132
8129,Otras actividades de limpieza de edificios y de instalaciones industriales (limpieza y mantenimiento de maquinaria y equipo industrial),5229,488390,0.0005117563844655132
8129,Otras actividades de limpieza de edificios y de instalaciones industriales (limpieza y mantenimiento de maquinaria y equipo industrial),8121,561720,2.8726835408180547
1061,Elaboración de productos de molienda (elaboración de harinas premezcladas),1030,311214,0.06197126122360952
1030,"Elaboración y conservación de frutas, legumbres y hortalizas (corte y pelado y envasado de frutas y verduras)",1061,311214,0.06197126122360952
1030,"Elaboración y conservación de frutas, legumbres y hortalizas (corte y pelado y envasado de frutas y verduras)",1073,311340,0.2982564947368293
1030,"Elaboración y conservación de frutas, legumbres y hortalizas (corte y pelado y envasado de frutas y verduras)",1079,"311993,311930,311999",0.004264636537212609
1030,"Elaboración y conservación de frutas, legumbres y hortalizas (corte y pelado y envasado de frutas y verduras)",1071,311910,0.09942695469615684
1062,Elaboración de almidones y productos derivados del almidón (molienda de nixtamal),1040,311222,0.02546597246506958
1040,Elaboración de aceites y grasas de origen vegetal y animal (elaboración de aceite de pescado),1062,311222,0.02546597246506958
1073,Elaboración de cacao y chocolate y de productos de confitería (elaboración de chocolate y productos de chocolate),1030,311340,0.2982564947368293
1074,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares (elaboración de pastas para sopa)",1075,"311423,311412",0.2922616342330904
1074,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares (elaboración de pastas para sopa)",1079,"311423,311412",0.2922616342330904
1075,Elaboración de comidas y platos preparados (elaboración de guisos a base de pescados y mariscos),1074,"311423,311412",0.2922616342330904
1075,Elaboración de comidas y platos preparados (elaboración de guisos a base de pescados y mariscos),1079,"311423,311710,311412",0.2922616342330904
1079,"Elaboración de otros productos alimenticios n.c.p. (elaboración de huevo procesado, corte y pelado de papas, procesamiento de miel, y de otros productos alimenticios n.c.p.*)",893,311940,0.013939269138774928
1079,"Elaboración de otros productos alimenticios n.c.p. (elaboración de huevo procesado, corte y pelado de papas, procesamiento de miel, y de otros productos alimenticios n.c.p.*)",1030,"311993,311930,311999",0.004264636537212609
1079,"Elaboración de otros productos alimenticios n.c.p. (elaboración de huevo procesado, corte y pelado de papas, procesamiento de miel, y de otros productos alimenticios n.c.p.*)",1074,"311423,311412",0.2922616342330904
1079,"Elaboración de otros productos alimenticios n.c.p. (elaboración de huevo procesado, corte y pelado de papas, procesamiento de miel, y de otros productos alimenticios n.c.p.*)",1075,"311423,311710,311412",0.2922616342330904
1071,Elaboración de productos de panadería (elaboración de botanas a base de maíz),1030,311910,0.09942695469615684
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2399,325999,0.1545991668118674
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),1910,325190,0.1753862237618237
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2022,"325190,325999",0.1753862237618237
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2029,"325190,325610,325999",0.1753862237618237
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2100,325190,0.1753862237618237
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2021,325610,0.3082235595580862
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2023,"325999,325610",0.1545991668118674
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),2817,325999,0.1545991668118674
2011,Fabricación de sustancias químicas básicas (fabricación de agua destilada),8292,325999,0.1545991668118674
1311,Preparación e hilatura de fibras textiles (fabricación de productos textiles reciclados),1629,313111,0.011185532403317643
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1610,"321999,321111",0.005068825141372701
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1311,313111,0.011185532403317643
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1399,"339940,339999",0.05358820425903158
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1392,337920,0.001973917482938408
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1622,"321999,321111",0.005068825141372701
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1623,"321920,321111",0.015108998017553244
