"hs","weight","naics","naics_original"
"030791",0.0833333333333333,"114119","114119"
"030821",0.0833333333333333,"114119","114119"
"030829",0.0833333333333333,"114119","114119"
"041000",0.0833333333333333,"114119","114119"
"050800",0.0833333333333333,"114119","114119"
"050900",0.0833333333333333,"114119","114119"
"051000",0.0833333333333333,"114119","114119"
"051199",0.0833333333333333,"114119","114119"
"121220",0.0833333333333333,"114119","114119"
"121221",0.0833333333333333,"114119","114119"
"121229",0.0833333333333333,"114119","114119"
"710121",0.0833333333333333,"114119","114119"
"030611",0.0133333333333333,"114112","114112"
"030612",0.0133333333333333,"114112","114112"
"030613",0.0133333333333333,"114112","114112"
"030614",0.0133333333333333,"114112","114112"
"030615",0.0133333333333333,"114112","114112"
"030616",0.0133333333333333,"114112","114112"
"030617",0.0133333333333333,"114112","114112"
"030619",0.0133333333333333,"114112","114112"
"030621",0.0133333333333333,"114112","114112"
"030622",0.0133333333333333,"114112","114112"
"030623",0.0133333333333333,"114112","114112"
"030624",0.0133333333333333,"114112","114112"
"030625",0.0133333333333333,"114112","114112"
"030626",0.0133333333333333,"114112","114112"
"030627",0.0133333333333333,"114112","114112"
"030629",0.0133333333333333,"114112","114112"
"030631",0.0133333333333333,"114112","114112"
"030632",0.0133333333333333,"114112","114112"
"030633",0.0133333333333333,"114112","114112"
"030634",0.0133333333333333,"114112","114112"
"030635",0.0133333333333333,"114112","114112"
"030636",0.0133333333333333,"114112","114112"
"030639",0.0133333333333333,"114112","114112"
"030691",0.0133333333333333,"114112","114112"
"030692",0.0133333333333333,"114112","114112"
"030693",0.0133333333333333,"114112","114112"
"030694",0.0133333333333333,"114112","114112"
"030695",0.0133333333333333,"114112","114112"
"030699",0.0133333333333333,"114112","114112"
"030710",0.0133333333333333,"114112","114112"
"030711",0.0133333333333333,"114112","114112"
"030712",0.0133333333333333,"114112","114112"
"030719",0.0133333333333333,"114112","114112"
"030721",0.0133333333333333,"114112","114112"
"030722",0.0133333333333333,"114112","114112"
"030729",0.0133333333333333,"114112","114112"
"030731",0.0133333333333333,"114112","114112"
"030732",0.0133333333333333,"114112","114112"
"030739",0.0133333333333333,"114112","114112"
"030741",0.0133333333333333,"114112","114112"
"030742",0.0133333333333333,"114112","114112"
"030743",0.0133333333333333,"114112","114112"
"030749",0.0133333333333333,"114112","114112"
"030751",0.0133333333333333,"114112","114112"
"030752",0.0133333333333333,"114112","114112"
"030759",0.0133333333333333,"114112","114112"
"030760",0.0133333333333333,"114112","114112"
"030771",0.0133333333333333,"114112","114112"
"030772",0.0133333333333333,"114112","114112"
"030779",0.0133333333333333,"114112","114112"
"030781",0.0133333333333333,"114112","114112"
"030782",0.0133333333333333,"114112","114112"
"030783",0.0133333333333333,"114112","114112"
