tag,year,product_hs92_code_4d,import_value,share_on_total_imports,HS4 ID,HS4,2020,2021,2022,2023
paises_interes,2020,3003,76427345,0.08183264329804234,3003,Unpackaged Medicaments,0.5551227102,0.5525838491,0.6219805047,0.5152879397
paises_interes,2020,3004,709553995,0.010035155084076992,3004,Packaged Medicaments,0.621482254,0.633604344,0.8849106495,0.8836421573
paises_interes,2020,3006,525875766,0.19601990748554485,3006,Special Pharmaceuticals,0.6167810203,0.5330550931,0.6265587995,0.524166362
paises_interes,2020,3208,17054308,0.027392862768964736,3208,Nonaqueous Paints,0.2772635628,0.2548113475,0.3610335898,0.3964783144
paises_interes,2020,3212,13706787,0.07183320614320711,3212,Nonaqueous Pigments,0.9565440381,0.8590280912,0.8528939644,0.9154877667
paises_interes,2020,3215,18661979,0.0354447490060901,3215,Ink,0.4413117343,0.4272315719,0.663183598,0.5413067644
paises_interes,2020,3305,51908115,0.040621687331157876,3305,Hair Products,-0.0822522931,0.1745136394,0.3354433214,0.2828834633
paises_interes,2020,3406,323109381,0.5040102609204551,3406,Candles,0.4257311564,0.3691575808,0.3652071594,0.3042565477
paises_interes,2020,3809,4894099,0.026960214903932214,3809,Dyeing Finishing Agents,0.4262039727,0.5489677251,0.4986079176,0.4392143696
paises_interes,2020,3810,3563896,0.046608755124251854,3810,Metal Pickling Preparations,1.6467103608,1.6105787743,1.5518489116,1.6065471248
paises_interes,2020,3904,53498001,0.06280015531352189,3904,Vinyl Chloride Polymers,0.5318919181,0.5550609933,0.6117751291,0.6153331094
paises_interes,2020,3920,678731990,0.12945195866160297,3920,Raw Plastic Sheeting,0.2585395564,0.2417471838,0.2428215023,0.2726766781
paises_interes,2020,3921,364647568,0.14000300153233183,3921,Other Plastic Sheetings,0.6845500222,0.678532811,0.6294443854,0.6179144357
paises_interes,2020,3926,9192403942,0.5815727989851024,3926,Other Plastic Products,0.9179451249,0.8200213347,0.8875203713,0.8588146199
paises_interes,2020,4809,3821555,0.052498876919359956,4809,Carbon Paper,0.2958832047,0.2699889448,0.1518085705,0.0161498201
paises_interes,2020,4811,116133874,0.08920955786036235,4811,Cellulose Fibers Paper,0.174627852,0.1663888494,0.2779184024,0.3912383666
paises_interes,2020,4901,370601027,0.2348916402770348,4901,Brochures,0.6945642139,0.6116287947,0.5226716792,0.4406948791
paises_interes,2020,4908,54329004,0.39029958510027113,4908,Decals,0.5475125447,0.5086282225,0.7344895002,0.7810525845
paises_interes,2020,4911,349461401,0.34317730362743476,4911,Other Printed Material,0.5751166509,0.7084379285,0.5927604467,0.575010563
paises_interes,2020,5503,134686734,0.23925166347176505,5503,Unprocessed Synthetic Staple Fibers,0.2460907229,0.2990585946,0.0742255211,0.098988614
paises_interes,2020,6810,883967882,0.38951397472629673,6810,Cement Articles,0.4883069337,0.4962610105,0.372511576,0.455855115
paises_interes,2020,7225,24792626,0.025678187761132273,7225,Flat Flat-Rolled Steel,1.3847955974,1.3803950226,1.3326932447,1.2601685304
paises_interes,2020,7226,3325587,0.021666694160594614,7226,Flat-Rolled Iron,1.378368539,1.1256111149,1.1875485657,1.5669411553
paises_interes,2020,7308,1487150552,0.28630231467787853,7308,Iron Structures,0.450871027,0.4573420714,0.4259297785,0.3320959715
paises_interes,2020,7309,18699096,0.05377227510955588,7309,Large Iron Containers,0.0925386048,0.0778985891,0.0647064137,0.3873938549
paises_interes,2020,7607,222066434,0.19538633551396767,7607,Aluminium Foil,0.5921856501,0.6664365572,0.6512518958,0.8740272865
paises_interes,2020,8211,482418976,0.6619318048037476,8211,Knives,1.0171582035,0.979615777,1.1868998222,0.9194442304
paises_interes,2020,8452,241278699,0.5642236003807183,8452,Sewing Machines,0.9521885927,0.9468345917,0.4247425096,0.23961381
paises_interes,2020,8532,267659690,0.13984194003425632,8532,Electrical Capacitors,1.1706960297,1.1564568007,1.1256859161,1.158415887
paises_interes,2020,9607,19472149,0.41619674789786665,9607,Zippers,0.4163142486,0.4281140874,0.3045767187,0.0090577349
paises_interes,2021,3003,69853456,0.08276632134170127,3003,Unpackaged Medicaments,0.5551227102,0.5525838491,0.6219805047,0.5152879397
paises_interes,2021,3004,792227547,0.010834166365076614,3004,Packaged Medicaments,0.621482254,0.633604344,0.8849106495,0.8836421573
paises_interes,2021,3006,633651880,0.19780072708984106,3006,Special Pharmaceuticals,0.6167810203,0.5330550931,0.6265587995,0.524166362
paises_interes,2021,3208,14701529,0.01984361376228263,3208,Nonaqueous Paints,0.2772635628,0.2548113475,0.3610335898,0.3964783144
paises_interes,2021,3212,16838062,0.07019630375340438,3212,Nonaqueous Pigments,0.9565440381,0.8590280912,0.8528939644,0.9154877667
paises_interes,2021,3215,32397196,0.04915863667083891,3215,Ink,0.4413117343,0.4272315719,0.663183598,0.5413067644
paises_interes,2021,3305,74634855,0.04856087499924362,3305,Hair Products,-0.0822522931,0.1745136394,0.3354433214,0.2828834633
paises_interes,2021,3406,530235525,0.5464617070039434,3406,Candles,0.4257311564,0.3691575808,0.3652071594,0.3042565477
paises_interes,2021,3809,5026909,0.02241125052124265,3809,Dyeing Finishing Agents,0.4262039727,0.5489677251,0.4986079176,0.4392143696
paises_interes,2021,3810,4593566,0.04849870450086322,3810,Metal Pickling Preparations,1.6467103608,1.6105787743,1.5518489116,1.6065471248
paises_interes,2021,3904,88840865,0.07055501142399119,3904,Vinyl Chloride Polymers,0.5318919181,0.5550609933,0.6117751291,0.6153331094
paises_interes,2021,3920,709932685,0.1101385777556768,3920,Raw Plastic Sheeting,0.2585395564,0.2417471838,0.2428215023,0.2726766781
paises_interes,2021,3921,464251743,0.13964402688327016,3921,Other Plastic Sheetings,0.6845500222,0.678532811,0.6294443854,0.6179144357
paises_interes,2021,3926,10560115229,0.5676669104579147,3926,Other Plastic Products,0.9179451249,0.8200213347,0.8875203713,0.8588146199
paises_interes,2021,4809,4674551,0.041600147500259324,4809,Carbon Paper,0.2958832047,0.2699889448,0.1518085705,0.0161498201
paises_interes,2021,4811,135003102,0.08521995612731277,4811,Cellulose Fibers Paper,0.174627852,0.1663888494,0.2779184024,0.3912383666
paises_interes,2021,4901,483969178,0.24372487294308004,4901,Brochures,0.6945642139,0.6116287947,0.5226716792,0.4406948791
