ciiu,tag,year,import_weighted_value,share_on_total_imports,variable,division,seccion,ciiu_nombre,pci,cog,distance,rca
06-X01,paises_interes,2020,75893970.54545456,0.00237805714439883,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,paises_interes,2021,80471985.81818181,0.0014655423448669798,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,paises_interes,2022,254304158.54545456,0.003091794969632861,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,paises_interes,2023,208098994.7272727,0.0030277968126343068,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,rest_of_world,2020,31838381396.7273,0.9976219428556011,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,rest_of_world,2021,54828883653.09095,0.9985344576551329,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,rest_of_world,2022,81996996798.72734,0.9969082050303671,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
06-X01,rest_of_world,2023,68521412133.27278,0.9969722031873656,06-X01,Extracción de petróleo crudo y gas natural,Explotación de minas y canteras,Extracción De Gas Natural,-4.9234158789078775,-4.622802668204207,0.9333942361913172,0.0
10-X01,paises_interes,2020,128556587.7499999,0.07018101647316095,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,paises_interes,2021,137618560.16666657,0.06517489387370728,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,paises_interes,2022,177691626.6666665,0.06809419315514004,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,paises_interes,2023,134249724.49999988,0.04688411358073639,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2020,1703229188.666665,0.929818983526839,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2021,1973908624.416665,0.9348251061262928,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2022,2431805871.333331,0.9319058068448599,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
10-X01,rest_of_world,2023,2729187679.916664,0.9531158864192636,10-X01,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración De Comidas Y Platos Preparados,1.539049765922791,0.6005242816302929,0.8179409495354271,0.0236113795499317
1010,paises_interes,2020,6861817.058037113,0.036581626544456534,1010,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración Y Conservación De Carne ,0.074413432551381,0.2676317493653644,0.9935293030642732,0.6927395793181065
1010,paises_interes,2021,8701322.3312492,0.033363748003706895,1010,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración Y Conservación De Carne ,0.074413432551381,0.2676317493653644,0.9935293030642732,0.6927395793181065
1010,paises_interes,2022,10908909.34564814,0.03028097276525925,1010,Elaboración de productos alimenticios,Industrias manufactureras,Elaboración Y Conservación De Carne ,0.074413432551381,0.2676317493653644,0.9935293030642732,0.6927395793181065
