"ciiu","naics_2017","dest_digit","sitc2","sitc2_weights"
"01-X01","111339",2,"05",0.705882352941177
"01-X01","111339",2,"07",0.117647058823529
"01-X01","111339",2,"04",0.0588235294117647
"01-X01","111339",2,"09",0.0588235294117647
"01-X01","111339",2,"29",0.0588235294117647
"01-X01","111339",3,"057",0.529411764705882
"01-X01","111339",3,"054",0.176470588235294
"01-X01","111339",3,"044",0.0588235294117647
"01-X01","111339",3,"071",0.0588235294117647
"01-X01","111339",3,"075",0.0588235294117647
"01-X01","111339",3,"098",0.0588235294117647
"01-X01","111339",3,"292",0.0588235294117647
"01-X01","111339",4,"0579",0.411764705882353
"01-X01","111339",4,"0440",0.0588235294117647
"01-X01","111339",4,"0545",0.0588235294117647
"01-X01","111339",4,"0546",0.0588235294117647
"01-X01","111339",4,"0548",0.0588235294117647
"01-X01","111339",4,"0573",0.0588235294117647
"01-X01","111339",4,"0576",0.0588235294117647
"01-X01","111339",4,"0711",0.0588235294117647
"01-X01","111339",4,"0752",0.0588235294117647
"01-X01","111339",4,"0980",0.0588235294117647
"01-X01","111339",4,"2920",0.0588235294117647
"01-X01","111339",5,"04400",0.0588235294117647
"01-X01","111339",5,"05459",0.0588235294117647
"01-X01","111339",5,"05462",0.0588235294117647
"01-X01","111339",5,"05488",0.0588235294117647
"01-X01","111339",5,"05730",0.0588235294117647
"01-X01","111339",5,"05760",0.0588235294117647
"01-X01","111339",5,"05790",0.0588235294117647
"01-X01","111339",5,"05792",0.0588235294117647
"01-X01","111339",5,"05793",0.0588235294117647
"01-X01","111339",5,"05795",0.0588235294117647
"01-X01","111339",5,"05796",0.0588235294117647
"01-X01","111339",5,"05797",0.0588235294117647
"01-X01","111339",5,"05798",0.0588235294117647
"01-X01","111339",5,"07111",0.0588235294117647
"01-X01","111339",5,"07521",0.0588235294117647
"01-X01","111339",5,"09800",0.0588235294117647
"01-X01","111339",5,"29200",0.0588235294117647
"01-X02","111335",2,"05",0.533333333333333
"01-X02","111335",2,"22",0.266666666666667
"01-X02","111335",2,"07",0.0666666666666667
"01-X02","111335",2,"08",0.0666666666666667
"01-X02","111335",2,"26",0.0666666666666667
"01-X02","111335",3,"057",0.533333333333333
"01-X02","111335",3,"223",0.266666666666667
"01-X02","111335",3,"072",0.0666666666666667
"01-X02","111335",3,"081",0.0666666666666667
"01-X02","111335",3,"265",0.0666666666666667
"01-X02","111335",4,"0577",0.4
"01-X02","111335",4,"0570",0.0666666666666667
"01-X02","111335",4,"0579",0.0666666666666667
"01-X02","111335",4,"0721",0.0666666666666667
"01-X02","111335",4,"0819",0.0666666666666667
"01-X02","111335",4,"2231",0.0666666666666667
"01-X02","111335",4,"2232",0.0666666666666667
"01-X02","111335",4,"2235",0.0666666666666667
"01-X02","111335",4,"2238",0.0666666666666667
"01-X02","111335",4,"2659",0.0666666666666667
"01-X02","111335",5,"05700",0.0666666666666667
"01-X02","111335",5,"05771",0.0666666666666667
"01-X02","111335",5,"05772",0.0666666666666667
"01-X02","111335",5,"05773",0.0666666666666667
"01-X02","111335",5,"05774",0.0666666666666667
"01-X02","111335",5,"05775",0.0666666666666667
"01-X02","111335",5,"05779",0.0666666666666667
"01-X02","111335",5,"05799",0.0666666666666667
"01-X02","111335",5,"07210",0.0666666666666667
"01-X02","111335",5,"08192",0.0666666666666667
"01-X02","111335",5,"22310",0.0666666666666667
"01-X02","111335",5,"22320",0.0666666666666667
"01-X02","111335",5,"22350",0.0666666666666667
