ciiu,naics_2017
1622,321911
1622,321991
1623,321920
1629,321912
1629,339950
17-X01,322230
17-X01,322130
17-X01,322110
17-X01,322122
17-X01,322219
17-X01,322121
17-X01,332992
17-X01,322211
17-X01,322291
17-X01,322212
17-X01,322299
17-X01,322220
1811,323117
1811,323113
1812,323120
1820,334614
1910,325194
1920,325110
1920,324199
1920,324191
1920,324110
2011,325193
2011,325998
2011,325130
2011,325120
2012,325311
2012,325314
2012,325312
2012,325180
2013,325212
2013,325211
2013,325991
2021,325320
2022,325910
2022,325510
2023,332999
2023,325620
2023,325611
2029,332993
2029,325920
2029,325520
2029,325613
2029,325612
2030,325220
2100,325411
2100,325412
2100,325414
2100,339113
2100,325413
2100,325199
2211,326212
2219,326211
2219,313320
2219,326291
2220,326112
2220,326130
2220,326122
2220,326220
2220,326150
2220,326113
2220,332913
2220,314910
2220,326160
2220,326111
2220,326121
2220,326191
2220,314120
2220,326140
23-X01,327110
2310,327993
2310,327212
2310,327213
2310,327211
2310,327215
2391,327120
2394,327410
2394,327420
2394,327310
2395,327320
2395,327999
2395,327331
2395,327390
2395,327332
2396,453998
2396,327991
2399,324121
2399,324122
2399,327910
2399,336350
2399,327992
2410,331110
2410,332996
2410,331221
2420,331410
2420,331313
2420,331315
2420,331314
2420,331492
2431,331512
2431,331210
2431,331513
2432,331524
2432,331523
2432,331529
25-X01,332216
25-X01,333991
25-X01,336111
25-X01,332911
25-X01,333131
25-X01,333515
25-X01,336390
25-X01,333914
25-X01,331222
25-X01,336213
25-X01,333243
25-X01,333132
25-X01,336340
25-X01,336999
25-X01,336330
25-X01,333111
25-X01,332510
25-X01,336112
25-X01,333921
25-X01,336211
25-X01,336120
25-X01,333922
25-X01,333511
25-X01,336310
25-X01,333120
25-X01,336320
25-X01,333112
25-X01,333924
25-X02,332812
25-X02,332710
25-X02,332811
25-X02,339910
25-X02,332813
25-X03,336212
25-X03,332439
25-X03,811121
25-X03,332420
25-X03,336214
2511,332323
2511,332321
2511,332311
2513,332410
2520,332994
2591,332117
2591,332112
2591,332114
2591,332111
2591,336370
2599,332322
2599,332431
2599,332613
2599,331491
2599,332119
2599,332721
2599,332722
26-X01,334519
26-X01,334511
26-X01,334514
26-X01,334515
26-X01,334516
26-X01,334513
26-X01,334512
26-X02,339920
26-X02,334310
26-X02,339930
2610,334413
2610,334416
2610,334418
2610,334417
2610,334419
2610,334412
2620,334112
2620,334111
2620,334118
2630,334290
2630,334210
2660,334510
2660,334517
2670,333314
2670,333316
2680,334613
2710,335314
2710,335313
2710,335312
2710,335311
2720,326299
2720,335911
2720,335912
2731,335921
2732,331420
2732,335929
2732,331318
2733,335932
2733,335931
2740,335110
2740,335122
2740,335121
2750,335220
2750,335210
2790,335999
2790,335991
2790,335129
28-X01,339995
28-X01,332215
28-X01,339993
28-X01,333241
28-X01,333318
28-X01,325992
28-X01,339994
28-X01,332618
28-X01,339940
28-X01,711510
28-X02,339116
28-X02,333414
28-X02,333999
28-X02,337127
28-X02,333994
28-X02,339112
28-X02,339114
28-X02,339115
28-X03,331511
28-X03,333519
28-X03,333514
28-X03,333249
28-X03,333517
28-X04,333618
28-X04,336991
28-X04,333611
2812,333996
2812,332912
2812,333995
2814,333612
2814,333613
2814,332991
2819,333997
2819,333912
2819,333993
2819,333413
2819,332919
2819,333992
2819,333415
2829,333244
2829,333242
3011,336611
3011,332313
3012,336612
3012,332312
3020,336510
3020,333923
3030,336419
3030,336414
3030,336360
3030,336412
3030,336413
3030,336415
3030,334220
3030,336411
3040,336992
3100,326199
3100,337214
3100,337121
3100,337212
3100,337211
3100,337125
3100,337110
3100,337122
3100,337910
3100,337124
3220,339992
33-X01,443142
33-X01,811213
33-X01,811219
33-X01,811211
33-X02,811490
33-X02,811310
33-X03,238220
3312,811411
3315,488390
3510,221116
3510,221118
3510,221111
3510,221117
3510,221114
3510,221115
3510,221121
3510,221113
3510,221112
3510,221122
3520,221210
3530,221330
3530,312113
36-X01,221310
36-X01,486910
36-X01,486210
36-X01,486990
36-X01,486110
3700,562991
3700,221320
3700,562998
3811,562111
3811,562119
3812,562112
3821,562219
3821,562212
3821,562213
3822,562211
3830,562920
3900,562910
4100,236118
4100,236220
4100,236115
4100,236117
4100,236116
4210,238990
4220,237130
4220,237110
4290,237120
4290,237210
4321,238210
4321,237310
4329,238310
4330,238320
4330,238390
4330,238330
4330,238340
4330,238350
4330,238150
4390,238110
4390,238120
4390,238190
4390,238130
4390,238170
4390,236210
4390,238160
4390,238140
4390,561790
45-X01,423140
45-X01,423110
45-X01,425110
45-X01,452319
45-X01,423130
45-X01,425120
45-X01,423120
45-X01,441210
45-X01,441320
4510,441120
4510,441228
4510,441110
4520,811192
4520,811191
4520,811112
4520,811122
4520,811118
4520,811198
4520,811113
4520,811111
4620,424520
4620,424930
4620,424990
4620,424510
4630,424940
4630,424590
4630,424480
4630,424820
4630,424430
4630,424810
4630,424420
4630,424460
4630,424440
4630,424450
4630,424410
4630,424470
4641,424340
4641,424310
4641,424320
4641,424330
4649,423460
4649,424920
4649,424210
4649,424120
4649,423920
4649,423620
4651,423430
4652,423690
4653,423820
4659,423810
4659,423850
4659,423440
4659,423450
4659,423420
4659,423860
4659,423740
4659,423210
4659,423490
4659,423410
4659,423610
4661,424710
4661,424720
4662,423510
4662,423520
4663,423390
4663,423730
4663,423910
4663,424950
4663,423830
4663,423330
4663,423220
4663,423310
4663,423720
4663,423320
4663,423710
4669,424130
4669,424110
4669,423930
4669,424910
4669,423840
4669,423940
4669,424690
4669,424490
4669,424610
47-X01,445299
47-X01,448140
47-X01,448130
47-X01,448210
47-X01,448110
47-X01,451130
47-X01,448120
47-X01,446191
47-X01,445220
47-X01,445292
47-X01,445230
47-X01,445310
47-X01,454390
47-X01,442110
47-X01,451120
47-X01,448190
47-X01,445210
47-X01,445291
47-X01,444190
4711,445120
4711,445110
4711,452311
4719,452210
4723,453991
4730,447190
4730,447110
4742,441310
4752,444130
4752,444210
4752,444110
4753,444120
4753,442210
4753,442291
4761,451212
4761,451211
4761,453210
4763,441222
4763,451110
4772,446199
4772,446110
4772,446120
4773,446130
4773,453920
4773,453110
4773,453220
4773,453930
4773,444220
4773,442299
4773,453910
4773,448150
4774,453310
4791,454110
4799,454210
4799,454310
49-X01,482111
49-X01,482112
4921,485111
4921,485113
4921,485112
4921,485119
4922,487110
4922,485310
4922,485991
4922,485210
4922,485410
4922,485320
4922,485999
4922,713920
4922,485510
4923,484122
4923,484220
4923,484110
4923,484121
4923,484230
4923,484210
5011,483114
5011,483112
5011,487210
5012,483113
5012,483111
5021,483212
5022,483211
5110,481111
5110,487990
5110,481211
5110,481219
5120,481112
5120,481212
5120,927110
52-X01,488320
52-X01,488490
52-X01,488119
52-X01,488210
52-X01,561710
5210,493120
5210,493110
5210,493130
5210,493190
5221,812930
5221,488410
5222,488330
5222,488310
5223,488190
5223,488111
5229,488510
5229,488991
5310,491110
5320,492210
5320,492110
5510,721199
5510,721191
5520,721214
5520,721211
5590,721110
5590,721310
56-X01,722310
56-X01,722410
56-X01,722330
5610,722511
5610,722513
5610,722515
5610,722514
5621,722320
58-X01,511130
58-X01,519130
5812,511140
5813,511110
5813,511120
5819,511199
5819,511191
5820,511210
5911,512110
5912,512191
5912,512199
5913,512120
5914,512131
5914,512132
5920,512290
5920,512250
5920,512230
5920,512240
60-X01,515112
60-X01,515111
60-X01,517312
60-X01,515120
6020,515210
61-X01,517911
61-X01,448310
61-X01,517919
61-X01,451140
61-X01,812990
6110,517311
6130,517410
6201,541511
6202,541512
6202,541513
6209,541519
6311,518210
6391,519110
6399,519190
6411,521110
6411,522298
6419,522390
6419,522120
6419,522110
6419,522130
6419,522190
6420,551112
6420,551111
6430,525190
6430,525120
6430,525990
6430,525910
6430,525920
6491,522220
6492,522210
6492,522293
6492,522291
6492,522292
6499,523910
6499,523110
6499,522294
6511,524113
6512,524126
6512,524114
6512,524127
6512,524128
6520,524130
6530,525110
6611,523210
6612,523130
6612,523120
6612,523999
6612,523140
6619,523930
6619,522310
6619,522320
6619,523991
6621,524291
6622,524210
6629,524292
6629,524298
6629,541612
6630,523920
6810,531110
6810,531130
6810,531190
6810,531120
6820,531390
6820,531311
6820,531320
6820,531210
6820,531312
6910,541199
6910,541990
6910,541120
6910,541110
6910,541191
6920,541214
6920,541219
6920,541213
6920,541211
7010,551114
7020,541820
7020,541611
7020,541613
7110,541340
7110,541330
7110,541320
7110,541360
7110,541370
7110,541310
7110,541350
7120,541380
7210,541713
7210,541715
7210,541714
7220,541720
7310,541860
7310,541840
7310,541870
7310,541810
7310,541850
7310,541830
7310,541890
7320,541910
7410,541420
7410,541410
7410,541430
7410,541490
7420,541922
7420,541921
7420,812921
7420,812922
7490,541620
7490,711410
7490,541618
7490,541930
7490,541690
7490,541614
7500,541940
7710,532112
7710,532120
7710,532111
7721,532284
7722,532282
7729,532310
7729,532281
7729,532289
7729,532210
7729,532283
7730,532420
7730,532412
7730,532490
7730,532411
7740,533110
7810,561312
7810,561311
7820,561320
7830,561330
7911,561510
7912,561520
7990,561599
7990,926110
7990,561591
8010,561613
8010,561612
8020,561621
8020,561622
8030,561611
8110,561210
8121,561720
8130,561730
8211,561110
8219,323111
8219,561439
8219,561410
8219,561431
8220,561422
8220,561421
8230,561920
8291,561450
8292,561910
8299,561491
8299,561492
8299,561499
84-X01,928120
8411,923120
8411,921110
8411,921120
8411,561440
8411,921190
8411,921130
8411,921140
8412,925110
8412,923140
8412,923110
8412,924110
8413,925120
8413,926150
8413,926140
8413,926130
8422,928110
8423,924120
8423,926120
8423,922120
8423,922110
8423,922140
8423,922190
8423,922160
8423,922150
8423,922130
8423,921150
8430,923130
8510,611691
8521,611110
8522,611513
8522,611410
8522,611519
8522,611511
8530,611210
8530,611310
8541,611699
8541,611620
8542,611610
8549,611692
8549,611420
8549,611512
8549,611630
8549,611430
8550,611710
8610,622110
8610,622310
8610,622210
8620,621112
8620,621111
8620,621493
8620,621498
8620,621210
8620,621491
8690,621310
8690,621511
8690,621391
8690,621991
8690,621420
8690,621492
8690,621910
8690,621512
8690,621999
8690,621610
8690,621399
8690,621340
8690,621330
8690,621320
8710,623110
8720,623220
8720,623210
8730,623311
8730,623312
8790,623990
8810,624120
8890,624190
8890,624221
8890,624230
8890,624310
8890,624410
8890,624110
8890,624229
8890,621410
8890,624210
9000,711130
9000,711120
9000,711110
9101,519120
9102,712110
9102,712120
9103,712130
9103,712190
9200,713290
9200,721120
9200,713210
93-X01,711310
93-X01,711190
93-X01,713990
93-X01,713120
93-X01,711219
93-X01,711320
93-X01,713930
9311,713940
9311,713950
9311,713910
9311,711212
9312,711211
9321,713110
9411,813910
9412,813920
9420,813930
9491,813110
9492,813940
9499,813319
9499,813211
9499,813410
9499,813990
9499,813312
9499,813212
9499,813219
9499,813311
9511,811212
9522,811412
9522,443141
9523,811430
9523,448320
9524,811420
9601,561740
9601,812320
9601,812331
9601,812332
9601,812310
9602,812113
9602,812112
9602,812111
9603,812220
9603,812210
9609,812191
9609,812910
9609,812199
9700,814110
