ciiu,naics_2017
01-X01,111339
01-X02,111335
01-X02,111334
01-X02,111333
01-X03,112990
01-X04,111421
01-X05,115111
01-X05,115114
0111,111150
0111,111120
0111,111140
0111,111110
0111,111998
0111,111199
0111,111130
0111,111191
0111,111992
0112,111160
0113,111411
0113,111211
0113,111991
0114,111930
0115,111910
0116,111920
0119,111219
0119,111422
0119,111940
0121,111332
0123,111320
0123,111310
0124,111331
0128,111419
0141,112111
0141,112120
0141,112130
0141,112112
0142,112920
0144,112410
0144,112420
0145,112210
0146,112310
0146,112390
0146,112330
0146,112320
0146,112340
0149,112910
0149,112930
0161,115115
0161,115116
0161,115112
0161,115113
0162,115210
0170,114210
02-X01,113210
02-X01,113110
0220,113310
0240,115310
03-X01,114119
03-X01,114112
03-X01,311710
03-X01,114111
03-X02,112511
03-X02,112519
03-X02,112512
0510,212113
0520,212111
0520,212112
06-X01,211130
06-X01,211120
0710,212210
0721,212299
0729,212291
0729,212221
0729,212222
0729,212230
08-X01,311514
08-X01,311513
08-X01,311911
08-X01,311991
08-X01,311421
08-X01,311512
08-X01,311941
08-X01,311942
08-X01,311930
08-X01,311423
08-X01,311999
08-X01,311520
08-X01,311511
08-X01,311920
08-X01,311612
08-X01,311411
08-X02,212322
08-X02,212399
08-X02,212311
08-X02,212319
08-X02,212313
08-X02,212321
08-X02,212324
08-X02,212325
0891,212392
0891,212391
0891,212393
0891,212312
09-X01,213114
09-X01,237990
09-X01,213115
09-X01,213113
09-X01,238910
0910,213111
0910,488999
0910,213112
10-X01,311412
10-X01,311824
10-X01,311422
10-X02,311224
10-X02,311221
10-X02,311225
1010,311613
1010,311615
1010,311611
1061,311212
1061,311230
1061,311211
1071,311812
1071,311813
1071,311919
1071,311830
1071,311811
1071,311821
1072,311313
1072,311314
1073,311352
1073,311340
1073,311351
1080,311111
1080,311119
1101,312140
1102,312130
1103,312120
1103,311213
1104,312111
1104,312112
1200,312230
1311,313110
1311,314999
1312,313210
1313,561990
1313,313310
1391,313240
1392,337920
1393,314110
1394,314994
1399,313220
1399,339991
1399,313230
14-X01,315220
14-X01,315210
14-X01,315240
14-X01,315990
14-X01,339999
14-X01,315280
1430,315110
1430,315190
1511,316110
1512,316992
1520,316998
1520,316210
1610,321999
1610,321114
1621,321212
1621,321219
1621,321211
1622,321113
1622,321992
1622,321918
1622,337215
1622,321214
1622,321213
