ciiu,scian_2018
01-X01,111332
01-X01,111337
01-X01,111331
01-X01,111333
01-X01,111334
01-X01,111991
01-X02,111412
01-X02,111413
01-X02,111338
01-X02,111339
01-X03,111995
01-X03,111993
01-X03,112991
01-X03,111994
01-X04,111429
01-X04,111419
01-X04,111423
01-X04,111999
01-X05,115113
01-X05,115112
0111,111131
0111,111132
0111,111191
0111,111110
0111,111121
0111,111129
0111,111992
0111,111139
0111,111140
0111,111199
0111,111194
0111,111152
0111,111195
0111,111122
0111,111192
0111,111151
0111,111193
0112,111160
0113,111215
0113,111216
0113,111217
0113,111416
0113,111213
0113,111214
0113,111218
0113,111411
0113,111211
0114,111930
0115,111910
0116,111920
0119,111941
0119,111942
0119,111219
0119,111421
0119,111422
0121,111335
0123,111329
0123,111321
0123,111310
0124,111336
0124,111415
0128,111414
0128,111212
0141,112110
0141,112131
0141,112120
0141,112139
0142,112920
0144,112410
0144,112420
0145,112211
0145,112212
0146,112330
0146,112320
0146,112312
0146,112340
0146,112311
0149,112930
0149,112910
0149,112390
0149,112999
0161,115111
0161,115119
0162,115210
0170,114210
02-X01,113211
02-X01,113110
0220,113212
0240,115310
03-X01,114119
03-X01,114113
03-X01,114111
03-X01,311710
03-X01,114112
03-X02,112511
03-X02,112512
0520,212110
06-X01,211111
06-X01,211112
0710,212210
0721,212293
0729,212221
0729,212292
0729,212222
0729,212231
0729,212299
0729,212232
0729,212291
08-X01,311512
08-X01,311613
08-X01,311511
08-X01,311922
08-X01,311513
08-X01,212391
08-X01,311923
08-X01,311999
08-X01,311421
08-X01,311411
08-X01,311924
08-X01,311930
08-X01,311422
08-X01,311940
08-X01,311992
08-X01,311993
08-X01,311991
08-X01,311921
08-X01,311520
08-X02,212319
08-X02,212312
08-X02,212392
08-X02,212399
08-X02,212396
08-X02,212329
08-X02,212321
08-X02,212325
08-X02,212322
08-X02,212323
08-X02,212324
0891,212394
0891,212393
0891,212395
0891,212311
0891,212398
0891,212397
09-X01,213119
09-X01,238910
09-X01,237999
0910,213111
10-X01,311820
10-X01,311412
10-X01,311423
10-X02,311222
10-X02,311221
1010,311611
1010,311612
1010,311614
1061,311212
1061,311211
1061,311230
1061,311214
1061,311213
1071,311910
1071,311811
1071,311830
1071,311813
1071,311812
1072,311319
1072,311311
1073,311340
1073,311350
1080,311110
1101,312141
1101,312131
1101,312142
1101,312149
1102,312132
1102,312139
1103,312120
1103,311215
1104,312111
1104,312112
1200,312221
1200,312210
1200,312222
1311,313113
1311,313112
1312,313210
1313,313310
1313,314991
1392,314912
1392,314993
1392,314911
1393,314110
1399,313220
1399,313230
1399,313240
1399,314992
14-X01,315221
14-X01,315210
14-X01,315224
14-X01,315999
14-X01,315222
14-X01,315223
14-X01,315229
14-X01,315991
14-X01,315225
14-X01,314999
1430,315192
1430,315191
1430,315110
1511,316110
1512,316991
1520,316213
1520,316211
1520,316219
1520,316212
1520,316214
1520,316999
1610,113310
1610,321112
1610,321113
1622,321910
1622,321210
1623,321993
1629,321111
1629,321992
1629,321991
1629,321999
1629,313111
1629,321920
17-X01,322230
17-X01,322121
17-X01,322131
17-X01,322291
17-X01,322220
17-X01,322122
17-X01,322210
17-X01,322299
17-X01,322110
17-X01,322132
1811,323111
1812,323120
1910,324199
1920,324110
1920,324191
2011,325110
2011,312143
2011,325130
2011,325120
2012,325310
2012,325180
2013,325211
2013,325212
2013,325993
2021,325320
2022,325510
2022,325910
2023,325620
2029,325991
2029,325920
2029,325520
2029,325610
2029,325992
2100,325412
2100,325411
2100,325190
2211,326212
2219,326211
2219,313320
2220,326160
2220,326192
2220,326140
2220,326191
2220,326220
2220,326193
2220,326150
2220,326130
2220,326110
2220,314120
2220,325220
2220,326120
2220,326199
23-X01,327112
23-X01,327122
23-X01,327111
2310,327211
2310,327216
2310,327219
2310,327212
2310,327215
2310,327213
2310,327214
2391,327123
2394,327410
2395,327320
2395,327310
2395,327420
2395,327399
2395,327391
2395,327121
2395,327330
2396,327991
2399,324120
2399,335991
2399,327910
2410,331111
2410,331112
2420,331419
2420,331412
2420,331411
2431,331210
2432,331520
25-X01,336310
25-X01,336120
25-X01,336510
25-X01,333130
25-X01,336350
25-X01,332610
25-X01,336210
25-X01,336330
25-X01,336999
25-X01,332510
25-X01,333111
25-X01,336340
25-X01,336110
25-X01,336390
25-X01,336320
25-X01,332211
25-X01,333112
25-X01,333120
25-X02,332810
25-X02,339913
25-X02,327999
25-X02,339912
25-X02,339911
25-X02,339914
25-X02,332710
25-X03,811123
2591,336370
2599,332430
2599,332110
2599,332212
2599,332999
2599,332720
2599,337920
2599,332320
2599,331490
26-X01,334511
26-X01,334519
26-X02,334310
26-X02,339920
26-X02,339930
2610,334410
2620,334110
2630,334210
2670,333311
2680,334610
2710,335311
2720,335910
2720,326290
2732,335920
2732,331420
2732,331310
2732,331220
2733,335930
2740,335110
2750,335210
2750,335220
2790,335120
2790,339950
2790,333991
2790,335312
2790,335999
28-X01,339111
28-X01,339993
28-X01,333319
28-X01,333244
28-X01,339995
28-X01,339940
28-X01,339994
28-X01,339992
28-X01,339999
28-X01,333312
28-X02,333999
28-X02,339113
28-X02,337120
28-X02,333249
28-X02,339112
28-X03,331510
28-X03,333510
28-X03,333241
28-X04,333610
28-X04,336992
28-X04,336991
2814,332991
2819,333992
2819,333243
2819,333910
2819,332910
2819,333411
2819,332420
2819,332410
2819,333993
2819,333412
2829,333245
2829,333242
2829,333246
3011,332310
3020,333920
3020,334290
3030,334220
3030,336360
3030,336410
3100,326198
3100,337210
3100,337910
3100,337110
3100,326194
3220,339991
33-X01,811211
33-X01,811219
33-X02,811312
33-X03,238222
33-X03,238221
3312,811311
3312,811313
3315,811314
3315,336610
3315,811493
3510,221119
3510,221113
3510,221121
3510,221111
3510,221122
3510,221114
3510,221112
3510,221123
3530,312113
3530,221210
36-X01,486910
36-X01,486990
36-X01,221311
36-X01,486210
36-X01,221312
36-X01,486110
3700,562999
3700,562998
3812,562112
3812,562111
3821,562221
3821,562222
3822,562212
3822,562211
3830,562922
3830,562921
3900,562912
3900,562911
4100,236111
4100,236112
4210,237993
4210,237312
4220,237112
4220,237121
4220,237111
4220,237132
4220,237131
4290,237992
4290,237991
4290,236221
4290,237211
4290,237212
4290,237122
4321,238210
4321,237311
4329,238290
4330,238311
4330,238312
4330,238350
4330,238190
4330,238340
4330,238320
4330,238130
4330,238330
4390,238110
4390,238121
4390,238390
4390,236211
4390,238122
4390,238990
45-X01,811492
45-X01,468311
45-X01,436112
4510,468319
4510,468111
4510,436111
4510,468112
4520,811191
4520,811116
4520,811114
4520,811119
4520,811111
4520,811192
4520,811113
4520,811121
4520,811129
4520,811122
4520,811115
4520,811112
4610,437210
4610,437111
4610,437112
4610,437113
4620,434228
4620,432113
4630,431193
4630,431213
4630,431199
4630,431130
4630,431192
4630,431123
4630,431170
4630,431180
4630,431191
4630,431212
4630,431110
4630,431160
4630,431121
4630,431122
4630,431140
4630,431220
4630,431211
4630,431194
4630,431150
4641,432112
4641,432130
4641,432120
4641,432111
4641,432119
4649,433220
4649,433312
4649,434240
4649,433410
4649,433420
4649,433430
4649,433313
4649,433110
4649,433510
4649,433210
4652,435411
4652,433311
4653,435110
4659,434225
4659,435311
4659,435312
4659,435210
4659,435313
4659,435220
4659,435319
4659,435412
4661,468419
4661,434230
4662,434221
4663,434224
4663,434211
4663,434219
4663,434229
4663,435419
4663,434226
4663,434227
4669,434222
4669,434319
4669,434312
4669,434112
4669,434314
4669,434311
4669,434111
4669,434313
4669,434223
47-X01,461160
47-X01,461213
47-X01,463217
47-X01,467115
47-X01,465313
47-X01,466114
47-X01,463112
47-X01,461130
47-X01,465112
47-X01,465214
47-X01,467114
47-X01,466314
47-X01,465111
47-X01,465913
47-X01,465912
47-X01,466211
47-X01,461220
47-X01,467113
47-X01,466111
47-X01,466312
47-X01,463215
47-X01,465216
47-X01,463218
47-X01,463213
47-X01,465211
47-X01,463212
47-X01,461212
47-X01,461170
47-X01,464113
47-X01,464121
47-X01,463111
47-X01,465311
47-X01,463214
47-X01,468212
47-X01,461122
47-X01,466212
47-X01,463113
47-X01,461150
47-X01,463310
47-X01,465213
47-X01,463216
47-X01,461190
47-X01,465215
47-X01,461211
47-X01,466410
47-X01,461123
47-X01,465914
47-X01,468211
47-X01,466319
47-X01,463211
47-X01,466311
47-X01,466112
47-X01,468213
47-X01,465212
47-X01,461140
47-X01,466313
47-X01,465312
47-X01,461121
47-X01,466113
4711,462112
4711,461110
4711,462111
4719,462210
4719,464112
4730,468414
4730,468413
4730,468411
4752,467112
4752,467111
4752,467117
4752,467116
4772,464122
4772,464111
4773,465915
4773,465919
4799,469110
4799,468412
4799,468420
4799,465911
49-X01,482110
4921,485115
4921,485113
4921,485114
4921,485112
4921,485111
4922,485990
4922,485410
4922,485320
4922,485510
4922,485210
4922,485312
4922,487110
4922,485311
4923,484234
4923,484121
4923,484210
4923,484233
4923,484222
4923,484224
4923,484239
4923,484231
4923,484221
4923,484129
4923,484232
4923,484119
4923,484223
4923,484111
4923,484229
5012,483113
5012,483112
5012,483111
5021,487210
5022,483210
5110,487990
5120,481111
5120,481210
5120,481112
52-X01,561720
52-X01,562121
52-X01,488210
52-X01,562122
52-X01,488320
52-X01,488390
52-X01,488112
52-X01,488492
52-X01,561790
52-X01,561710
5210,493119
5210,493111
5210,493120
5210,493130
5210,493190
5221,488491
5221,488410
5222,488330
5222,488310
5223,488111
5223,488190
5229,488990
5229,488519
5229,488511
5229,488493
5310,491110
5320,492110
5320,492210
5510,721190
5510,721111
5510,721113
5510,721112
5520,721210
5590,721311
5590,721312
56-X01,722412
56-X01,722514
56-X01,722511
56-X01,722512
56-X01,722513
56-X01,722330
56-X01,722411
56-X01,722515
56-X01,722310
5610,722517
5610,722519
5610,722518
5610,722516
5621,722320
58-X01,511131
58-X01,511132
58-X01,519130
5812,511141
5812,511142
5813,511112
5813,511121
5813,511111
5813,511122
5819,511192
5819,511191
5820,511210
5911,512111
5911,512113
5911,512112
5912,512190
5913,512120
5914,512130
5920,512230
5920,512240
5920,512250
5920,512290
60-X01,515210
60-X01,517312
60-X01,515110
6020,515120
61-X01,517910
61-X01,811491
61-X01,517410
6130,517311
6209,541510
6391,519110
6411,521110
6419,522390
6419,522320
6419,522310
6419,522110
6420,551112
6430,522220
6492,522210
6492,522490
6492,522440
6492,522452
6492,522451
6499,522460
6512,524120
6512,524130
6520,524110
6611,523110
6611,523210
6612,523121
6612,523990
6612,523122
6619,522510
6619,523910
6622,524210
6629,525110
6629,525210
6630,524220
6810,531115
6810,531113
6810,531119
6810,531114
6810,531116
6810,531111
6810,531112
6820,531210
6820,531311
6820,531319
6910,541120
6910,541190
6910,541110
6920,541219
6920,541211
7010,551111
7020,541820
7020,541610
7110,237994
7110,236113
7110,541310
7110,541360
7110,237313
7110,541340
7110,237213
7110,237113
7110,541320
7110,541350
7110,236212
7110,237133
7110,236222
7110,237123
7110,541330
7110,541370
7120,541380
7120,811199
7210,541712
7210,541711
7220,541721
7220,541722
7310,541850
7310,541840
7310,541860
7310,541890
7310,541830
7310,541810
7310,541870
7320,541910
7410,541490
7410,541420
7410,541430
7410,541410
7420,541920
7420,812910
7420,518210
7490,711410
7490,541620
7490,541930
7490,541690
7500,541941
7500,541944
7500,541943
7500,541942
7710,532110
7710,532121
7729,532281
7729,532210
7729,532282
7730,532310
7730,532412
7730,532411
7730,532493
7730,532122
7730,532420
7730,532289
7730,532492
7730,532491
7740,533110
7810,561310
7820,561320
7830,561330
7911,561510
7912,561520
7990,561590
8010,561610
8020,561620
8030,541990
8110,561210
8130,561730
8211,561110
8219,561410
8219,561431
8219,323119
8219,561432
8220,561422
8220,561421
8230,561920
8291,561450
8291,561440
8292,325999
8292,561910
8299,561490
84-X01,931710
84-X01,932120
84-X01,932110
8411,931210
8411,931110
8412,931510
8412,931610
8413,931310
8422,931810
8423,931410
8423,561990
8510,611112
8510,611111
8510,611122
8510,611121
8521,611131
8521,611132
8522,611182
8522,611151
8522,611152
8522,611161
8522,611162
8522,611141
8522,611181
8522,611142
8530,611312
8530,611311
8541,611621
8541,611622
8542,611611
8542,611612
8549,611632
8549,611631
8549,611212
8549,611431
8549,611511
8549,611172
8549,611411
8549,611512
8549,611691
8549,611412
8549,611211
8549,611699
8549,611171
8549,611421
8549,611422
8549,611698
8549,611432
8550,611710
8610,622112
8610,622312
8610,622311
8610,622111
8610,622211
8610,622212
8620,621115
8620,621211
8620,621111
8620,621113
8620,621212
8620,621112
8620,621114
8620,621116
8690,621411
8690,621610
8690,621492
8690,621421
8690,621311
8690,621332
8690,621391
8690,621392
8690,621399
8690,621991
8690,621342
8690,621992
8690,621491
8690,621341
8690,621412
8690,621398
8690,621320
8690,621910
8690,621312
8690,621331
8690,621512
8690,621422
8690,621511
8710,623111
8710,623112
8720,623221
8720,623212
8720,623211
8720,623222
8730,623312
8730,623311
8790,623992
8790,623991
8810,624122
8810,624121
8890,624312
8890,624212
8890,624112
8890,624232
8890,624199
8890,624198
8890,624311
8890,624411
8890,624191
8890,624412
8890,624221
8890,624111
8890,624231
8890,624222
8890,624211
9000,711510
9000,711122
9000,711131
9000,711121
9000,711111
9000,711132
9000,711112
9101,519190
9101,519121
9101,519122
9102,712120
9102,712112
9102,712111
9103,712131
9103,712132
9103,712190
9200,713299
9200,721120
9200,713210
9200,713291
93-X01,713930
93-X01,713920
93-X01,711191
93-X01,713999
93-X01,713120
93-X01,713998
93-X01,711192
93-X01,711312
93-X01,713991
93-X01,711211
93-X01,711320
93-X01,713113
93-X01,711311
93-X01,713114
9311,713943
9311,713910
9311,713941
9311,713942
9311,713950
9311,713944
9311,813140
9312,711212
9312,713992
9321,713112
9321,713111
9411,813110
9412,813130
9420,813120
9491,813210
9492,813220
9499,813230
9522,811410
9522,811499
9523,811430
9524,811420
9601,812210
9601,561740
9602,812110
9603,812310
9603,812321
9603,812322
9609,812120
9609,812130
9609,812990
9609,812410
9700,814110
